Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Bergen - Florida;SN50540;11.10.2016;14,7
Bjørnholt;SN18500;12.10.2016;1,9
Oslo - Blindern;SN18700;12.10.2016;4,7
Trondheim - Voll;SN68860;12.10.2016;4,2
Stavanger - Våland;SN44640;12.10.2016;11,2
Bergen - Florida;SN50540;12.10.2016;13
Bjørnholt;SN18500;13.10.2016;1,7
Oslo - Blindern;SN18700;13.10.2016;4,1
Oslo - Hovin;SN18210;13.10.2016;5
Trondheim - Voll;SN68860;13.10.2016;4,6
Stavanger - Våland;SN44640;13.10.2016;10,4
Bergen - Florida;SN50540;13.10.2016;13
Bjørnholt;SN18500;14.10.2016;0
Oslo - Blindern;SN18700;14.10.2016;2,8
Oslo - Hovin;SN18210;14.10.2016;3,7
Trondheim - Voll;SN68860;14.10.2016;7,1
Stavanger - Våland;SN44640;14.10.2016;12,2
Bergen - Florida;SN50540;14.10.2016;12,4
Bjørnholt;SN18500;15.10.2016;2,4
Oslo - Blindern;SN18700;15.10.2016;4,9
Oslo - Hovin;SN18210;15.10.2016;6
Trondheim - Voll;SN68860;15.10.2016;7,6
Stavanger - Våland;SN44640;15.10.2016;11,4
Bergen - Florida;SN50540;15.10.2016;16
Bjørnholt;SN18500;16.10.2016;5,2
Oslo - Blindern;SN18700;16.10.2016;7,2
Oslo - Hovin;SN18210;16.10.2016;8,5
Trondheim - Voll;SN68860;16.10.2016;10,8
Stavanger - Våland;SN44640;16.10.2016;10,7
Bergen - Florida;SN50540;16.10.2016;13,9
Bjørnholt;SN18500;17.10.2016;4,5
Oslo - Blindern;SN18700;17.10.2016;6,9
Oslo - Hovin;SN18210;17.10.2016;7,7
Trondheim - Voll;SN68860;17.10.2016;12,1
Stavanger - Våland;SN44640;17.10.2016;12,2
Bergen - Florida;SN50540;17.10.2016;12,7
Bjørnholt;SN18500;18.10.2016;5,3
Oslo - Blindern;SN18700;18.10.2016;7,4
Oslo - Hovin;SN18210;18.10.2016;8,5
